Function,Package,Lesson_Introduced,Lesson_Topic,R_Documentation,Additional_Help,Appears_In_Lessons,Num_Lessons
library,base,3,Download + Intro to R & RStudio,https://rdrr.io/r/base/library.html,,"3, 4, 9, 14, 15",5
pacman::p_load,pacman,5,Basics,https://rdrr.io/cran/pacman/man/p_load.html,,"5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35",31
sin,base,5,Basics,https://rdrr.io/r/base/Trig.html,,"5, 6",2
sqrt,base,5,Basics,https://rdrr.io/r/base/MathFun.html,,"5, 17",2
theme_grey,ggplot2,8,Quarto & .qmd's,https://ggplot2.tidyverse.org/reference/ggtheme.html,,"8, 30, 31, 32, 33, 34",6
theme_set,ggplot2,8,Quarto & .qmd's,https://ggplot2.tidyverse.org/reference/theme_get.html,,"8, 30, 31, 32, 33, 34",6
install.packages,utils,9,Packages,https://rdrr.io/r/utils/install.packages.html,,"9, 14",2
getwd,base,10,R projects & working directories,https://rdrr.io/r/base/getwd.html,,10,1
here,here,10,R projects & working directories,https://here.r-lib.org/reference/here.html,https://here.r-lib.org/articles/here.html,"10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35",26
read_rds,readr,10,R projects & working directories,https://readr.tidyverse.org/reference/read_rds.html,,"10, 13, 16, 18",4
setwd,base,10,R projects & working directories,https://rdrr.io/r/base/getwd.html,,10,1
c,base,12,Functions,https://rdrr.io/r/base/c.html,,"12, 14, 15, 17, 23, 35",6
mean,base,12,Functions,https://rdrr.io/r/base/mean.html,,"12, 14, 15, 17, 27, 30, 35",7
sd,stats,12,Functions,https://rdrr.io/r/stats/sd.html,,"12, 17, 27",3
seq,base,12,Functions,https://rdrr.io/r/base/seq.html,,"12, 17",2
class,base,13,Objects,https://rdrr.io/r/base/class.html,,"13, 23",2
clean_names,janitor,13,Objects,https://sfirke.github.io/janitor/reference/clean_names.html,,"13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33",21
head,utils,13,Objects,https://rdrr.io/r/utils/head.html,,"13, 18, 20, 21, 35",5
tibble,tibble,13,Objects,https://tibble.tidyverse.org/reference/tibble.html,,"13, 18, 19, 22, 23, 28, 29, 35",8
all.equal,base,14,Common errors,https://rdrr.io/r/base/all.equal.html,,14,1
data.frame,base,14,Common errors,https://rdrr.io/r/base/data.frame.html,,14,1
log,base,14,Common errors,https://rdrr.io/r/base/Log.html,,"14, 17",2
names,base,14,Common errors,https://rdrr.io/r/base/names.html,,"14, 18, 22, 23",4
example,utils,15,Getting help,https://rdrr.io/r/utils/example.html,,15,1
help,utils,15,Getting help,https://rdrr.io/r/utils/help.html,,15,1
max,base,15,Getting help,https://rdrr.io/r/base/Extremes.html,,"15, 17, 27",3
paste,base,15,Getting help,https://rdrr.io/r/base/paste.html,,15,1
paste0,base,15,Getting help,https://rdrr.io/r/base/paste.html,,15,1
round,base,15,Getting help,https://rdrr.io/r/base/Round.html,,"15, 17, 22, 30",4
dim,base,16,Piping,https://rdrr.io/r/base/dim.html,,16,1
lm,stats,16,Piping,https://rdrr.io/r/stats/lm.html,,16,1
relocate,dplyr,16,Piping,https://dplyr.tidyverse.org/reference/relocate.html,,"16, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33",14
select,dplyr,16,Piping,https://dplyr.tidyverse.org/reference/select.html,,"16, 20, 21, 22, 23, 24, 25, 26, 27, 28, 30, 34, 35",13
